sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end,day
6:44:16 AM,2:33:31 PM,10:38:54 AM,07:49:15,6:03:38 AM,3:14:09 PM,5:19:57 AM,3:57:50 PM,4:38:41 AM,4:39:07 PM,2020-01-01
6:44:07 AM,2:34:36 PM,10:39:22 AM,07:50:29,6:03:34 AM,3:15:10 PM,5:19:56 AM,3:58:47 PM,4:38:42 AM,4:40:02 PM,2020-01-02
6:43:55 AM,2:35:44 PM,10:39:50 AM,07:51:49,6:03:26 AM,3:16:13 PM,5:19:52 AM,3:59:47 PM,4:38:40 AM,4:40:59 PM,2020-01-03
6:43:39 AM,2:36:55 PM,10:40:17 AM,07:53:16,6:03:16 AM,3:17:18 PM,5:19:46 AM,4:00:48 PM,4:38:36 AM,4:41:58 PM,2020-01-04
6:43:19 AM,2:38:08 PM,10:40:44 AM,07:54:49,6:03:02 AM,3:18:26 PM,5:19:36 AM,4:01:52 PM,4:38:29 AM,4:42:59 PM,2020-01-05
6:42:57 AM,2:39:24 PM,10:41:10 AM,07:56:27,6:02:45 AM,3:19:36 PM,5:19:24 AM,4:02:57 PM,4:38:19 AM,4:44:02 PM,2020-01-06
6:42:31 AM,2:40:42 PM,10:41:36 AM,07:58:11,6:02:25 AM,3:20:47 PM,5:19:08 AM,4:04:04 PM,4:38:06 AM,4:45:07 PM,2020-01-07
6:42:01 AM,2:42:03 PM,10:42:02 AM,08:00:02,6:02:02 AM,3:22:01 PM,5:18:50 AM,4:05:14 PM,4:37:51 AM,4:46:13 PM,2020-01-08
6:41:29 AM,2:43:25 PM,10:42:27 AM,08:01:56,6:01:37 AM,3:23:17 PM,5:18:29 AM,4:06:25 PM,4:37:33 AM,4:47:21 PM,2020-01-09
6:40:53 AM,2:44:50 PM,10:42:51 AM,08:03:57,6:01:08 AM,3:24:35 PM,5:18:05 AM,4:07:37 PM,4:37:12 AM,4:48:30 PM,2020-01-10
6:40:14 AM,2:46:17 PM,10:43:15 AM,08:06:03,6:00:36 AM,3:25:55 PM,5:17:39 AM,4:08:52 PM,4:36:49 AM,4:49:42 PM,2020-01-11
6:39:31 AM,2:47:46 PM,10:43:39 AM,08:08:15,6:00:01 AM,3:27:16 PM,5:17:09 AM,4:10:08 PM,4:36:23 AM,4:50:54 PM,2020-01-12
6:38:46 AM,2:49:17 PM,10:44:01 AM,08:10:31,5:59:23 AM,3:28:39 PM,5:16:37 AM,4:11:25 PM,4:35:54 AM,4:52:08 PM,2020-01-13
6:37:57 AM,2:50:49 PM,10:44:23 AM,08:12:52,5:58:43 AM,3:30:04 PM,5:16:02 AM,4:12:44 PM,4:35:23 AM,4:53:24 PM,2020-01-14
6:37:06 AM,2:52:24 PM,10:44:45 AM,08:15:18,5:57:59 AM,3:31:30 PM,5:15:25 AM,4:14:05 PM,4:34:48 AM,4:54:41 PM,2020-01-15
6:36:11 AM,2:53:59 PM,10:45:05 AM,08:17:48,5:57:13 AM,3:32:58 PM,5:14:44 AM,4:15:27 PM,4:34:12 AM,4:55:59 PM,2020-01-16
6:35:14 AM,2:55:37 PM,10:45:25 AM,08:20:23,5:56:24 AM,3:34:27 PM,5:14:01 AM,4:16:50 PM,4:33:32 AM,4:57:19 PM,2020-01-17
6:34:14 AM,2:57:16 PM,10:45:45 AM,08:23:02,5:55:32 AM,3:35:58 PM,5:13:15 AM,4:18:14 PM,4:32:50 AM,4:58:40 PM,2020-01-18
6:33:11 AM,2:58:56 PM,10:46:03 AM,08:25:45,5:54:37 AM,3:37:30 PM,5:12:27 AM,4:19:40 PM,4:32:05 AM,5:00:02 PM,2020-01-19
6:32:05 AM,3:00:38 PM,10:46:21 AM,08:28:33,5:53:40 AM,3:39:03 PM,5:11:36 AM,4:21:07 PM,4:31:18 AM,5:01:25 PM,2020-01-20
6:30:56 AM,3:02:20 PM,10:46:38 AM,08:31:24,5:52:40 AM,3:40:37 PM,5:10:42 AM,4:22:34 PM,4:30:28 AM,5:02:49 PM,2020-01-21
6:29:45 AM,3:04:04 PM,10:46:55 AM,08:34:19,5:51:37 AM,3:42:12 PM,5:09:46 AM,4:24:03 PM,4:29:35 AM,5:04:15 PM,2020-01-22
6:28:31 AM,3:05:49 PM,10:47:10 AM,08:37:18,5:50:32 AM,3:43:49 PM,5:08:47 AM,4:25:33 PM,4:28:40 AM,5:05:41 PM,2020-01-23
6:27:15 AM,3:07:35 PM,10:47:25 AM,08:40:20,5:49:25 AM,3:45:26 PM,5:07:46 AM,4:27:04 PM,4:27:42 AM,5:07:08 PM,2020-01-24
6:25:56 AM,3:09:22 PM,10:47:39 AM,08:43:26,5:48:15 AM,3:47:04 PM,5:06:42 AM,4:28:36 PM,4:26:42 AM,5:08:36 PM,2020-01-25
